model_name,space_id,source_code_size_kb
microsoft/resnet-50,Nuno-Tome/simple_image_classifier,11.23
microsoft/resnet-50,hysts/space-that-creates-model-demo-space,9.06
microsoft/resnet-50,Ramos-Ramos/visual-emb-gam-probing,7.58
microsoft/resnet-50,taquynhnga/CNNs-interpretation-visualization,4497629.73
microsoft/resnet-50,Khaled27/Naptah,427533.77
microsoft/resnet-50,juliensimon/battle_of_image_classifiers,3.30
microsoft/resnet-50,Omnibus/AI-or-Not,10.03
microsoft/resnet-50,davanstrien/arch_demo,15.93
microsoft/resnet-50,mixcard/image-2-details,1.79
microsoft/resnet-50,jeffhaines/rice-disease-identifier,536287.20
microsoft/resnet-50,akhaliq/space-that-creates-model-demo-space,9.56
microsoft/resnet-50,realambuj/Image_Classifier_using_RESNET50,100230.40
microsoft/resnet-50,peteralexandercharles/space-that-creates-model-demo-space,9.12
microsoft/resnet-50,rbarman/resnet50-example,2.73
microsoft/resnet-50,lianglv/microsoft-resnet-50,1.75
microsoft/resnet-50,ludusc/latent-space-theories,4073458.98
microsoft/resnet-50,jonanfu/demo_clase_platzi,2.00
microsoft/resnet-50,CodeTed/Body_Index_Predictor,96777.92
microsoft/resnet-50,Charles95/gradio-tasks,3.22
microsoft/resnet-50,Waranchari/Image_Classification,2.98
microsoft/resnet-50,ADOPLE/Image_Classification,1837.96
microsoft/resnet-50,zergswim/test,2.88
microsoft/resnet-50,kasidith/classification,2.38
microsoft/resnet-50,saimandava/microsoft-resnet-50,1.75
microsoft/resnet-50,Latyrine/microsoft-resnet-50,1.75
microsoft/resnet-50,Skakade/microsoft-resnet-50,1.75
microsoft/resnet-50,zhongzzz/zzq,1.73
microsoft/resnet-50,glrh11/image-classification,2.14
microsoft/resnet-50,ntayal/healthy-infected-plant,2.21
microsoft/resnet-50,BubuDavid/image-classification,7.99
microsoft/resnet-50,mahakgupta1/microsoft-resnet-50,1.75
microsoft/resnet-50,hg2001/microsoft-resnet-50-demo2,1.76
microsoft/resnet-50,awacke1/Image-Classifier-microsoft-resnet-50,1.77
microsoft/resnet-50,SivaResearch/Opensource_imageClassifer_combo,3.32
microsoft/resnet-50,risekid/imageProcess,10.59
microsoft/resnet-50,kisn/microsoft-resnet-50,1.75
microsoft/resnet-50,takeabilfive/microsoft-resnet-50,1.75
microsoft/resnet-50,MokkaAbhishek/microsoft-resnet-50,1.75
microsoft/resnet-50,Nirvana-Real/microsoft-resnet-50,1.77
microsoft/resnet-50,EinfachOlder/space-that-creates-model-demo-space,9.12
microsoft/resnet-50,degaya/microsoft-resnet-50,1.77
microsoft/resnet-50,smerdov/microsoft-resnet-50,1.75
microsoft/resnet-50,tellview/microsoft-resnet-50,1.79
microsoft/resnet-50,greenrain0012/microsoft-resnet-50,1.79
microsoft/resnet-50,hamlegs/IntelliStyle,16.68
microsoft/resnet-50,ARUZ/microsoft-resnet-50,1.79
microsoft/resnet-50,UNIQ-DEV/Image-Classification-Benchmark,18.14
microsoft/resnet-50,ABITOS/microsoft-resnet-50,1.80
microsoft/resnet-50,PlayForLose/Final_Project,6.90
microsoft/resnet-50,surya696030/microsoft-resnet-50,1.80
