model_name,downloads,likes,tags
google/vivit-b-16x2-kinetics400,412288,20,"transformers, pytorch, vivit, vision, video-classification, arxiv:2103.15691, license:mit, endpoints_compatible, region:us"
facebook/timesformer-hr-finetuned-k600,315434,5,"transformers, pytorch, timesformer, video-classification, vision, arxiv:2102.05095, license:cc-by-nc-4.0, endpoints_compatible, region:us"
microsoft/xclip-base-patch32,252740,70,"transformers, pytorch, safetensors, xclip, vision, video-classification, en, arxiv:2208.02816, license:mit, model-index, endpoints_compatible, region:us"
MCG-NJU/videomae-large,226365,18,"transformers, pytorch, safetensors, videomae, pretraining, vision, video-classification, arxiv:2203.12602, arxiv:2111.06377, license:cc-by-nc-4.0, endpoints_compatible, region:us"
MCG-NJU/videomae-base,98243,37,"transformers, pytorch, safetensors, videomae, pretraining, vision, video-classification, arxiv:2203.12602, arxiv:2111.06377, license:cc-by-nc-4.0, endpoints_compatible, region:us"
facebook/timesformer-base-finetuned-k400,71775,25,"transformers, pytorch, timesformer, video-classification, vision, arxiv:2102.05095, license:cc-by-nc-4.0, endpoints_compatible, region:us"
MCG-NJU/videomae-base-finetuned-kinetics,20646,32,"transformers, pytorch, safetensors, videomae, video-classification, vision, arxiv:2203.12602, arxiv:2111.06377, license:cc-by-nc-4.0, endpoints_compatible, region:us"
MCG-NJU/videomae-base-finetuned-ssv2,6787,6,"transformers, pytorch, videomae, video-classification, vision, arxiv:2203.12602, arxiv:2111.06377, license:cc-by-nc-4.0, endpoints_compatible, region:us"
facebook/timesformer-base-finetuned-k600,5997,11,"transformers, pytorch, timesformer, video-classification, vision, arxiv:2102.05095, license:cc-by-nc-4.0, endpoints_compatible, region:us"
microsoft/xclip-base-patch16-zero-shot,4703,23,"transformers, pytorch, safetensors, xclip, feature-extraction, vision, video-classification, en, arxiv:2208.02816, license:mit, model-index, endpoints_compatible, region:us"
MCG-NJU/videomae-small-finetuned-kinetics,3267,1,"transformers, pytorch, videomae, video-classification, vision, arxiv:2203.12602, arxiv:2111.06377, license:cc-by-nc-4.0, endpoints_compatible, region:us"
microsoft/xclip-large-patch14,2683,7,"transformers, pytorch, safetensors, xclip, feature-extraction, vision, video-classification, en, arxiv:2208.02816, license:mit, model-index, endpoints_compatible, region:us"
MCG-NJU/videomae-large-finetuned-kinetics,2186,12,"transformers, pytorch, safetensors, videomae, video-classification, vision, arxiv:2203.12602, arxiv:2111.06377, license:cc-by-nc-4.0, endpoints_compatible, region:us"
microsoft/xclip-base-patch16,1936,1,"transformers, pytorch, safetensors, xclip, feature-extraction, vision, video-classification, en, arxiv:2208.02816, license:mit, model-index, endpoints_compatible, region:us"
google/vivit-b-16x2,1371,7,"transformers, pytorch, vivit, video-classification, vision, arxiv:2103.15691, license:mit, endpoints_compatible, region:us"
facebook/timesformer-base-finetuned-ssv2,1205,3,"transformers, pytorch, timesformer, video-classification, vision, arxiv:2102.05095, license:cc-by-nc-4.0, endpoints_compatible, region:us"
facebook/timesformer-hr-finetuned-k400,1113,2,"transformers, pytorch, timesformer, video-classification, vision, arxiv:2102.05095, license:cc-by-nc-4.0, endpoints_compatible, region:us"
MCG-NJU/videomae-base-ssv2,1082,2,"transformers, pytorch, videomae, pretraining, vision, video-classification, arxiv:2203.12602, arxiv:2111.06377, license:cc-by-nc-4.0, endpoints_compatible, region:us"
facebook/timesformer-hr-finetuned-ssv2,1052,2,"transformers, pytorch, timesformer, video-classification, vision, arxiv:2102.05095, license:cc-by-nc-4.0, endpoints_compatible, region:us"
MCG-NJU/videomae-base-short,485,3,"transformers, pytorch, safetensors, videomae, pretraining, vision, video-classification, arxiv:2203.12602, arxiv:2111.06377, license:cc-by-nc-4.0, endpoints_compatible, region:us"
