model_name,spaces_count,spaces
google/vivit-b-16x2-kinetics400,10,"M2UGen/M2UGen-Demo|awacke1/MusicChatGenWithMuGen|jordonpeter01/M2UGen-Super-30s|VarunKumarGupta2003/MusicGen|MakiAi/M2UGen-Demo|Gregr4/google-vivit-b-16x2-kinetics400|divyareddy/M2UGen-Demo|ferno22/demo|TobDeBer/M2UGen330-Demo|irakshit/google-vivit-b-16x2-kinetics400"
facebook/timesformer-hr-finetuned-k600,3,"fcakyon/video-classification|HiepPhuocSS/TimeSFormer|AIConsultant/video-classification"
microsoft/xclip-base-patch32,27,"fcakyon/zero-shot-video-classification|Shad0ws/Videoclassifier-ZEROSHOT|primooo326/microsoft-xclip-base-patch32|RaoMuneeb/microsoft-xclip-base-patch32|awacke1/Video-microsoft-xclip-base-patch32|mehal/Violence_Detection|maybepablo/microsoft-xclip-base-patch32|PizzaBuddha/microsoft-xclip-base-patch32|JeffMond/microsoft-xclip-base-patch32|AlexandraDolidze/MERC|cccccccccccccccccccccc/microsoft-xclip-base-patch32|adpai/microsoft-xclip-base-patch32|wwwlygg/microsoft-xclip-base-patch32|Abdelrahman1/microsoft-xclip-base-patch32|Uzigo/microsoft-xclip-base-patch32|midcola/microsoft-xclip-base-patch32|Sof22/microsoft-xclip-base-patch32|MNGames/microsoft-xclip-base-patch32|wqguo/microsoft-xclip-base-patch32|CCCDev/VideoClassify|jschwab21/Scene-level_VTR_in_Seconds|Almendrado/microsoft-xclip-base-patch32|Zencriel/Brain_Tumour_Detection|ObindiG/vidaa|phantomsnakezero/microsoft-xclip-base-patch32|Ahmedramy1/microsoft-xclip-base-patch32|Baraaqasem/Imag"
MCG-NJU/videomae-large,2,"bedrock123/MCG-NJU-videomae-large|marooz/MCG-NJU-videomae-large"
MCG-NJU/videomae-base,13,"namnh2002/video-summarization_timesformer|awacke1/Video-MCG-NJU-videomae-base|Femkitty/MCG-NJU-videomae-base|canaxx/MCG-NJU-videomae-base|Likai2023/MCG-NJU-videomae-base|JackWong0911/video-classification-Kitnetics400-myViT|Kaori1707/VideoCap|daarsh/Semantic_Summarization_of_Videos_B29|MNGames/MBase|krishnv/VideoCap|dvs/MCG-NJU-videomae-base|LorDBeerus7/MCG-NJU-videomae-base|IndianChessMans/MCG-NJU-videomae-base"
facebook/timesformer-base-finetuned-k400,77,"microsoft/HuggingGPT|fcakyon/video-classification|taesiri/HuggingGPT-Lite|fcakyon/timesformer|HiepPhuocSS/TimeSFormer|ccarr0807/HuggingGPT|theholycityweb/HuggingGPT|Alfasign/HuggingGPT-Lite|saurshaz/HuggingGPT|chrisW6825/HuggingGPT|Shenziqian/HuggingGPT|lokutus/HuggingGPT|mimiqiao/HuggingGPT|tsgbalakarthik/HuggingGPT|wowochkin/HuggingGPT|Msp/HuggingGPT|TimeSee/facebook-timesformer-base-finetuned-k400|apgarmd/jarvis|apgarmd/jarvis2|ryan12439/HuggingGPTpub|turbowed/HuggingGPT|Chokyounghoon/HuggingGPT|mukulnag/HuggingGPT1|FANCHIYU/HuggingGPT|Betacuckgpt/HuggingGPT|cashqin/HuggingGPT|lollo21/Will-GPT|felixfriday/MICROSOFTT_JARVIS_HuggingGPT|Meffordh/HuggingGPT|Pfs2021Funny/HuggingGPT|lugifudun/HuggingGPT|irritablebro/HuggingGPT|leadmaister/HuggingGPT|pors/HuggingGPT|keaneu/HuggingGPT|MagKoz/HuggingGPT|lzqfree/HuggingGPT|zhangdream/HuggingGPT|bountyfuljr/HuggingGPTplaypublic|viscosity/HuggingGPT|calliber/HuggingGPT|Pitak/HuggingGPT|Mcdof/HuggingGPT|gaocegege/HuggingGPT|BMukhtar/BMA|mearjunsha/HuggingGPT|vs4vijay/HuggingGPT|mastere00/JarvisMeetsProfessor|CollaalloC/HuggingGPT|tywen/facebook-timesformer-base-finetuned-k400|NaamanSaif/HuggingGPT|dwolfe66/HuggingGPT|passthebutter/HuggingGPT|mckeeboards/HuggingGPT|manu1435/HuggingGPT|xian-sheng/HuggingGPT|trhacknon/HuggingGPT|Aygtljl518866/HuggingGPT|Vito99/HuggingGPT-Lite|EinfachOlder/HuggingGPT-Lite|Hemi1403/HuggingGPT|innovativeillusions/HuggingGPT|awacke1/Video-facebook-timesformer-base-finetuned-k400|eagle-eye/facebook-timesformer-base-finetuned-k400|dcams/HuggingGPT|ylavie/HuggingGPT3|ylavie/HuggingGPT-Lite|CCYAO/HuggingGPT|0xrk/facebook-timesformer-base-finetuned-k400|cndavy/HuggingGPT|AIConsultant/video-classification|AsadullaH777/HuggingGPT|JackWong0911/video-classification-Kitnetics400-myViT|Abdelrahman1/facebook-timesformer-base-finetuned-k400|ZackBradshaw/omni_bot|bengilbert/ImgSecTimeSformers|CCCDev/VideoClassify"
MCG-NJU/videomae-base-finetuned-kinetics,27,"zheyangqin/VADER|fcakyon/video-classification|LuxOAI/videodiffusion|akhaliq/VideoMAE|HiepPhuocSS/TimeSFormer|kisatsg/VideoMAE|PizzaBuddha/MCG-NJU-videomae-base-finetuned-kinetics|awacke1/Video-MCG-NJU-videomae-base-finetuned-kinetics|0xrk/MCG-NJU-videomae-base-finetuned-kinetics|mskrishna/MCG-NJU-videomae-base-finetuned-kinetics|AIConsultant/video-classification|franjay/MCG-NJU-videomae-base-finetuned-kinetics|JackWong0911/video-classification-Kitnetics400-myViT|changjiang007/MCG-NJU-videomae-base-finetuned-kinetics|HussamAi/MCG-NJU-videomae-base-finetuned-kinetics|sqbg/MCG-NJU-videomae-base-finetuned-kinetics|abduldattijo/MCG-NJU-videomae-base-finetuned-kinetics|Gotpressure/MCG-NJU-videomae-base-finetuned-kinetics|Gotpressure/MCG-NJU-videomae-base-finetuned-kinetics1|Joyapeee/MCG-NJU-videomae-base-finetuned-kinetics|geoffabbott/MCG-NJU-videomae-base-finetuned-kinetics|LinusKetTripz/MCG-NJU-videomae-base-finetuned-kinetics|Ghstys/MCG-NJU-videomae-base-finetuned-kinetic|xinglilu/Vadhwid|Nimmyd/MCG-NJU-videomae-base-finetuned-kinetics|fantaxy/VADER|mbesinci/contact-eyes"
MCG-NJU/videomae-base-finetuned-ssv2,3,"fcakyon/video-classification|AIConsultant/video-classification|dejanc/MCG-NJU-videomae-base-finetuned-ssv2"
facebook/timesformer-base-finetuned-k600,5,"fcakyon/video-classification|HiepPhuocSS/TimeSFormer|namnh2002/video-summarization_timesformer|AIConsultant/video-classification|hivalking/facebook-timesformer-base-finetuned-k600-try-01"
microsoft/xclip-base-patch16-zero-shot,11,"fcakyon/zero-shot-video-classification|Shad0ws/Videoclassifier-ZEROSHOT|Hasani/Binary-Video-Classification-In-The-Wild|Hasani/Action-Detection-Video-2|drift-ai/classify-rooms|mehal/Violence_Detection|IbrahimHasani/ActionDetectionVideo|engajify/action_video|dvs/microsoft-xclip-base-patch16-zero-shot|Almendrado/microsoft-xclip-base-patch16-zero-shot|Zencriel/Brain_Tumour_Detection"
