model_name,space_id,source_code_size_kb
google/vivit-b-16x2-kinetics400,M2UGen/M2UGen-Demo,22069008.29
google/vivit-b-16x2-kinetics400,awacke1/MusicChatGenWithMuGen,29920685.73
google/vivit-b-16x2-kinetics400,jordonpeter01/M2UGen-Super-30s,29920685.73
google/vivit-b-16x2-kinetics400,VarunKumarGupta2003/MusicGen,29922999.78
google/vivit-b-16x2-kinetics400,MakiAi/M2UGen-Demo,30251515.48
google/vivit-b-16x2-kinetics400,Gregr4/google-vivit-b-16x2-kinetics400,1.80
google/vivit-b-16x2-kinetics400,divyareddy/M2UGen-Demo,22069008.29
google/vivit-b-16x2-kinetics400,ferno22/demo,1926182.97
google/vivit-b-16x2-kinetics400,TobDeBer/M2UGen330-Demo,22069007.98
google/vivit-b-16x2-kinetics400,irakshit/google-vivit-b-16x2-kinetics400,1.81
facebook/timesformer-hr-finetuned-k600,fcakyon/video-classification,9.52
facebook/timesformer-hr-finetuned-k600,HiepPhuocSS/TimeSFormer,419.57
facebook/timesformer-hr-finetuned-k600,AIConsultant/video-classification,8.87
microsoft/xclip-base-patch32,fcakyon/zero-shot-video-classification,8.60
microsoft/xclip-base-patch32,Shad0ws/Videoclassifier-ZEROSHOT,8.07
microsoft/xclip-base-patch32,primooo326/microsoft-xclip-base-patch32,1.76
microsoft/xclip-base-patch32,RaoMuneeb/microsoft-xclip-base-patch32,1.77
microsoft/xclip-base-patch32,awacke1/Video-microsoft-xclip-base-patch32,1.78
microsoft/xclip-base-patch32,mehal/Violence_Detection,8.28
microsoft/xclip-base-patch32,maybepablo/microsoft-xclip-base-patch32,1.77
microsoft/xclip-base-patch32,PizzaBuddha/microsoft-xclip-base-patch32,1.82
microsoft/xclip-base-patch32,JeffMond/microsoft-xclip-base-patch32,1.81
microsoft/xclip-base-patch32,AlexandraDolidze/MERC,2995440.72
microsoft/xclip-base-patch32,cccccccccccccccccccccc/microsoft-xclip-base-patch32,1.82
microsoft/xclip-base-patch32,adpai/microsoft-xclip-base-patch32,4.27
microsoft/xclip-base-patch32,wwwlygg/microsoft-xclip-base-patch32,1.80
microsoft/xclip-base-patch32,Abdelrahman1/microsoft-xclip-base-patch32,1.80
microsoft/xclip-base-patch32,Uzigo/microsoft-xclip-base-patch32,1.80
microsoft/xclip-base-patch32,midcola/microsoft-xclip-base-patch32,1.80
microsoft/xclip-base-patch32,Sof22/microsoft-xclip-base-patch32,1.80
microsoft/xclip-base-patch32,MNGames/microsoft-xclip-base-patch32,1.93
microsoft/xclip-base-patch32,wqguo/microsoft-xclip-base-patch32,1.80
microsoft/xclip-base-patch32,CCCDev/VideoClassify,3.32
microsoft/xclip-base-patch32,jschwab21/Scene-level_VTR_in_Seconds,7.32
microsoft/xclip-base-patch32,Almendrado/microsoft-xclip-base-patch32,1.80
microsoft/xclip-base-patch32,Zencriel/Brain_Tumour_Detection,11265.60
microsoft/xclip-base-patch32,ObindiG/vidaa,1.81
